id,title,publishedAt,channelTitle,description,channelId
4zpp8h1IrNk,"Behind Biden&#39;s meetings with China&#39;s Xi, Trump",2024-11-14T21:30:31Z,CBS News,"President Biden is at the APEC summit in Lima, Peru, where he will meet with China's Xi Jinping. CBS News' Natalie Brand has ...",UC8p1vwvWtl6T73JiExfWs1g
MHLVpFUKETw,Xi Jinping opens China-funded megaport in Peru | REUTERS,2024-11-15T07:16:59Z,Reuters,Chinese President Xi Jinping launched a week-long diplomatic blitz of South America by inaugurating a massive deep-water port ...,UChqUTb7kYRX8-EiaN3XFrSQ
X5OTZBExyTA,China&#39;s President Xi Jinping unveils a megaport in Peru,2024-11-15T05:00:33Z,Associated Press,Chinese President Xi Jinping and his Peruvian counterpart Dina Boluarte officially inaugurated the Chancay megaport at an event ...,UC52X5wxOL_s5yw0dQk7NtgA
040FrUErukE,Zhang Yuning with the late winner! | Bahrain - China PR | Highlights #AsianQualifiers - Road To 26,2024-11-14T19:00:00Z,AFC Asian Cup,Enjoy the highlights of the match between Bahrain and China PR from Matchday 5 of the AFC Asian Qualifiers™ Road to 26.,UCXTRFt1vLvZpahQtiKJjLaQ
5D6z9dTszPQ,&#39;We Cannot Be At The Mercy Of China&#39;: Rob Wittman Calls For Domestic Mining Expansion,2024-11-15T07:00:05Z,Forbes Breaking News,"During debate on the house floor, Rep. Rob Wittman (R-VA) spoke in support of HR 8446, the Critical Mineral Consistency Act.",UCg40OxZ1GYh3u3jBntB6DLg
_CYSnqXL3Q8,Police: Driver who killed dozens in China was angry over financial terms of divorce,2024-11-12T18:30:39Z,NBC News,NBC News' Meagan Fitzgerald reports on information provided by police after a 62-year-old man was detained following a deadly ...,UCeY0bbntWzzVIaj2z3QigXg
4WRj8JFNkiM,Pete Hegseth: &quot;China is Building An Army to Defeat America&quot;,2024-11-07T19:00:03Z,Shawn Ryan Clips,Join this channel to get access to perks: https://www.youtube.com/channel/UCkoujZQZatbqy4KGcgjpVxQ/join Support the Shawn ...,UC1vUksRWfEfd6V4pPDIQ0jw
vU7GGvnB9Rg,No Instagram or Netflix? Mary Lee Explains China has its Own Apps #shorts,2024-10-26T12:30:48Z,BeerBiceps,Check out my Mind Performance app: Level SuperMind - https://install.lvl.fit/6p0czn44wphuribluslgp Join the Level Community ...,UCPxMZIFE856tbTfdkdjzTSQ
cGzbDGnGV10,"WE MOVED TO BEIJING, CHINA (a new start)",2024-11-13T16:00:29Z,Matt and Julia,"We moved to Beijing, China. Welcome to Beijing the capital of China, we have just moved here to start a new journey in our life.",UCnrHlFu6ZueDosGPt9R3nHw
