author_id,created_at,text
1669503678804541440,2024-11-15 00:43:12+00:00,Is there method in the madness of Trump’s ‘gunpowder’ gambit? https://t.co/6HvutVTJDX via @scmpnews
395023985,2024-11-15 00:43:11+00:00,"RT @suchnerve: conservative: “FUCK YOUR FEELINGS FUCK DEI THERE ARE ONLY 2 GENDERS BUILD THE WALL NO MORE CHINA LOL GET REKT GROOMER”

us:…"
1830956226571595776,2024-11-15 00:43:11+00:00,@CrazyVideosOnly How much for a coke in china? $300?
4119528074,2024-11-15 00:43:11+00:00,"RT @KemensetnegRI: 2. Terkait isu Laut China Selatan, Presiden Prabowo menegaskan sikap Indonesia untuk mempertahankan kedaulatan negara de…"
977378202715791360,2024-11-15 00:43:10+00:00,"RT @MEF_Peru: 🇵🇪🤝🇨🇳| ¡Fortaleciendo las relaciones comerciales con China! La presidenta Dina Boluarte, acompañada del ministro @JoseArista_…"
1719035724379398144,2024-11-15 00:43:09+00:00,"RT @DschlopesIsBack: 🔥🔥""I think he (Fauci) oughta retire where he can be closer to his work in Wuhan, China.""

Trump's incoming Attorney Ge…"
266249951,2024-11-15 00:43:09+00:00,"Que nos puede ofrecer china sus carros eléctricos pfff este negocio es más para que el Perú envíe en todo lo posible sus productos comestibles, vamos a darle de comer a los chinos https://t.co/1RWqxIUG2R"
491843319,2024-11-15 00:43:09+00:00,"@susanhogarth Because if we weren't, China and/or Russia would be."
556215059,2024-11-15 00:43:09+00:00,"On Tuesday, November 12th, China Institute in America proudly hosted its 20th Annual Executive Summit, where over 250 guests and 22+ speakers gathered. Energized and insightful conversation filled the entire room. Stay tuned for more events! https://t.co/ZgOyYHY7HS"
1829714556479787008,2024-11-15 00:43:08+00:00,"RT @TimothyDSnyder: If Trump sells out Ukraine, the present world order collapses around him.
https://t.co/nEG57GX3G4"
191343094,2024-11-15 00:43:08+00:00,RT @RogerMerino: Si Presidente de China cita a Mariategui: “qué bien conoce al Perú nuestro socio comercial”. Si un estudiante de San Marco…
110167281,2024-11-15 00:43:08+00:00,RT @RFA_Chinese: 在 #珠海 发生 #驾车撞人 事件后，公安部召开会议应对，以发展新时代“枫桥经验”和总结“朝阳群众”等，作为探讨新举措的方向。有法律学者就事件反思撰文，提出公正的司法是社会的“减压阀”的意见，却瞬间被删帖，突显官民对如何防范极端事件的态度存在明…
1833957225108279296,2024-11-15 00:43:07+00:00,"I completely agree on one factor from this video, Covid-19 was a bio-weapon that China used after Trump yelled “Tariffs” https://t.co/C96D9lLEeU"
1387945168159006726,2024-11-15 00:43:07+00:00,"RT @MisterTurrones: Orgulloso de ser peruano. Megapuerto de Chancay inaugurado y ahora se viene un Puerto Espacial con Estados Unidos.

Xi…"
472589390,2024-11-15 00:43:06+00:00,"RT @suchnerve: conservative: “FUCK YOUR FEELINGS FUCK DEI THERE ARE ONLY 2 GENDERS BUILD THE WALL NO MORE CHINA LOL GET REKT GROOMER”

us:…"
1504121880424374273,2024-11-15 00:43:06+00:00,"RT @JovenesUnidosP: #APEC2024 🚨

↪️ Los peruanos ya no necesitaremos visa para ingresar a Japón e Indonesia 🇵🇪 🇯🇵 🇮🇩 

&lt;Tag: xi jinping chi…"
1382484604263804932,2024-11-15 00:43:06+00:00,"RT @upholdreality: Xi Jinping arrives in Peru to unveil the largest and most modern port in South America, built by China

""As early as mor…"
3292079079,2024-11-15 00:43:06+00:00,#APEC Perú 🇵🇪 y China 🇨🇳 suscriben acuerdos bilaterales en Palacio de Gobierno. La presidente Dina Boluarte y Xi Jinping participan en los momentos previos a la inauguración oficial del Puerto de Chancay. https://t.co/lX8POOrrNV
1660352370994454528,2024-11-15 00:43:06+00:00,"RT @shaunrein: I've lived in The Philippines. I've lived in China - both countries are/have been rife w corruption

But the most corrupt co…"
1855005752399642628,2024-11-15 00:43:05+00:00,journalists are not right. in 2025 will be the United States alone against the new alliance Russia North Korea Iran China.. look at the map of the adversaries of the United States.
